,Pitcher,Primary Pitches,Secondary Pitches,Primary,Secondary,H-Mov,V-Mov,RelHei,RelSide,RelHei Diff,RelSide Diff,H-Mov Diff,V-Mov Diff,MPH Diff,RPM Diff,VAA Diff,HAA Diff,Spin Degree Diff,Usage Rate,Chase Rate,Zone Whiff Rate,Called Strike Rate,wOBAcon
390,García Luis (HOU),"926    772.0
Name: Pitches, dtype: float64",94.0, FF, FS,"926   -7.0
Name:  H-Mov, dtype: float64","926    17.9
Name:  V-Mov, dtype: float64","926    6.3
Name: V-Rel Pt, dtype: float64","926   -1.5
Name: H-Rel Pt, dtype: float64",13.2,4.6,1.8000000000000007,14.599999999999998,5.599999999999994,1310.0,2.8,0.09999999999999987,,5.6,40.5,30.0,4.3,0.434
391,García Rony,"933    398.0
Name: Pitches, dtype: float64",280.0, FF, CU,"933   -10.6
Name:  H-Mov, dtype: float64","933    13.8
Name:  V-Mov, dtype: float64","933    4.8
Name: V-Rel Pt, dtype: float64","933   -3.2
Name: H-Rel Pt, dtype: float64",15.8,7.5,18.5,13.4,12.600000000000009,14.0,3.8,2.4000000000000004,,23.0,25.0,40.5,11.4,0.343
392,García Rony,"933    398.0
Name: Pitches, dtype: float64",113.0, FF, SI,"933   -10.6
Name:  H-Mov, dtype: float64","933    13.8
Name:  V-Mov, dtype: float64","933    4.8
Name: V-Rel Pt, dtype: float64","933   -3.2
Name: H-Rel Pt, dtype: float64",15.5,7.3999999999999995,6.4,6.300000000000001,0.4000000000000057,87.0,1.2999999999999998,0.8999999999999999,,8.7,35.8,35.0,14.2,0.297
393,García Rony,"933    398.0
Name: Pitches, dtype: float64",93.0, FF, CH,"933   -10.6
Name:  H-Mov, dtype: float64","933    13.8
Name:  V-Mov, dtype: float64","933    4.8
Name: V-Rel Pt, dtype: float64","933   -3.2
Name: H-Rel Pt, dtype: float64",15.8,7.5,1.5,5.0,5.5,579.0,2.0,0.5999999999999999,,11.2,22.0,30.200000000000003,9.7,0.316
394,Garrett Amir,"937    354.0
Name: Pitches, dtype: float64",171.0, SL, FF,"937   -1.7
Name:  H-Mov, dtype: float64","937    5.3
Name:  V-Mov, dtype: float64","937    5.6
Name: V-Rel Pt, dtype: float64","937    2.8
Name: H-Rel Pt, dtype: float64",7.7,4.2,12.6,9.0,9.5,371.0,1.7999999999999998,1.9000000000000001,64.30000000000001,30.1,12.0,50.6,19.9,0.277
395,Garrett Braxton,"942    341.0
Name: Pitches, dtype: float64",275.0, SL, FF,"942   -8.7
Name:  H-Mov, dtype: float64","942   -2.3
Name:  V-Mov, dtype: float64","942    6.0
Name: V-Rel Pt, dtype: float64","942    2.7
Name: H-Rel Pt, dtype: float64",14.7,11.5,18.1,17.7,7.200000000000003,28.0,3.8000000000000007,2.0,,30.8,23.7,41.4,21.1,0.372
396,Garrett Braxton,"942    341.0
Name: Pitches, dtype: float64",208.0, SL, SI,"942   -8.7
Name:  H-Mov, dtype: float64","942   -2.3
Name:  V-Mov, dtype: float64","942    6.0
Name: V-Rel Pt, dtype: float64","942    2.7
Name: H-Rel Pt, dtype: float64",14.7,11.6,25.0,8.5,6.700000000000003,183.0,2.0,3.1999999999999997,,17.1,34.7,45.1,25.0,0.343
397,Garrett Braxton,"942    341.0
Name: Pitches, dtype: float64",103.0, SL, CH,"942   -8.7
Name:  H-Mov, dtype: float64","942   -2.3
Name:  V-Mov, dtype: float64","942    6.0
Name: V-Rel Pt, dtype: float64","942    2.7
Name: H-Rel Pt, dtype: float64",14.6,11.7,25.4,5.699999999999999,1.7999999999999972,653.0,0.9000000000000004,3.0,,11.0,35.4,36.8,10.7,0.259
398,Garrett Braxton,"942    341.0
Name: Pitches, dtype: float64",103.0, SL, CU,"942   -8.7
Name:  H-Mov, dtype: float64","942   -2.3
Name:  V-Mov, dtype: float64","942    6.0
Name: V-Rel Pt, dtype: float64","942    2.7
Name: H-Rel Pt, dtype: float64",14.899999999999999,11.1,3.0,6.2,5.299999999999997,11.0,0.7999999999999989,0.5,,14.1,27.9,60.0,31.1,0.588
399,Garza Jr. Ralph,"951    171.0
Name: Pitches, dtype: float64",118.0, SI, SL,"951   -16.2
Name:  H-Mov, dtype: float64","951   -0.8
Name:  V-Mov, dtype: float64","951    4.0
Name: V-Rel Pt, dtype: float64","951   -2.1
Name: H-Rel Pt, dtype: float64",20.299999999999997,14.0,30.0,9.4,10.299999999999997,204.0,0.39999999999999947,4.1,4.100000000000001,26.9,29.0,50.0,14.4,0.371
400,Garza Jr. Ralph,"951    171.0
Name: Pitches, dtype: float64",97.0, SI, CH,"951   -16.2
Name:  H-Mov, dtype: float64","951   -0.8
Name:  V-Mov, dtype: float64","951    4.0
Name: V-Rel Pt, dtype: float64","951   -2.1
Name: H-Rel Pt, dtype: float64",21.7,14.899999999999999,0.1999999999999993,7.1,4.700000000000003,458.0,1.8999999999999995,1.1,15.2,13.8,28.3,45.5,12.4,0.425
401,Garza Jr. Ralph,"951    171.0
Name: Pitches, dtype: float64",65.0, SI, FF,"951   -16.2
Name:  H-Mov, dtype: float64","951   -0.8
Name:  V-Mov, dtype: float64","951    4.0
Name: V-Rel Pt, dtype: float64","951   -2.1
Name: H-Rel Pt, dtype: float64",21.799999999999997,15.1,8.5,17.8,3.4000000000000057,85.0,0.5,0.0,12.299999999999999,15.7,29.6,39.5,24.6,0.501
402,Garza Jr. Ralph,"951    171.0
Name: Pitches, dtype: float64",51.0, SI, FC,"951   -16.2
Name:  H-Mov, dtype: float64","951   -0.8
Name:  V-Mov, dtype: float64","951    4.0
Name: V-Rel Pt, dtype: float64","951   -2.1
Name: H-Rel Pt, dtype: float64",21.799999999999997,15.1,15.1,15.8,1.6000000000000085,84.0,0.40000000000000036,1.4,,9.3,39.4,22.200000000000003,9.8,0.481
403,Gausman Kevin,"954    926.0
Name: Pitches, dtype: float64",678.0, FF, FS,"954   -10.7
Name:  H-Mov, dtype: float64","954    17.3
Name:  V-Mov, dtype: float64","954    6.0
Name: V-Rel Pt, dtype: float64","954   -2.3
Name: H-Rel Pt, dtype: float64",16.6,8.299999999999999,4.5,12.3,9.700000000000003,679.0,2.9000000000000004,0.5,23.5,35.0,51.3,39.2,3.7,0.341
404,Gausman Kevin,"954    926.0
Name: Pitches, dtype: float64",251.0, FF, SL,"954   -10.7
Name:  H-Mov, dtype: float64","954    17.3
Name:  V-Mov, dtype: float64","954    6.0
Name: V-Rel Pt, dtype: float64","954   -2.3
Name: H-Rel Pt, dtype: float64",16.6,8.299999999999999,11.899999999999999,14.700000000000001,10.800000000000011,39.0,3.200000000000001,2.2,65.1,7.1,24.4,47.3,12.7,0.391
405,Germán Domingo,"958    112.0
Name: Pitches, dtype: float64",81.0, CU, CH,"958    1.2
Name:  H-Mov, dtype: float64","958   -3.8
Name:  V-Mov, dtype: float64","958    5.5
Name: V-Rel Pt, dtype: float64","958   -1.4
Name: H-Rel Pt, dtype: float64",4.2,2.8,17.9,12.0,4.800000000000011,279.0,1.7999999999999998,1.9,,20.8,27.8,37.8,14.8,0.322
406,Germán Domingo,"958    112.0
Name: Pitches, dtype: float64",81.0, CU, FF,"958    1.2
Name:  H-Mov, dtype: float64","958   -3.8
Name:  V-Mov, dtype: float64","958    5.5
Name: V-Rel Pt, dtype: float64","958   -1.4
Name: H-Rel Pt, dtype: float64",4.1,2.7,10.6,19.8,12.0,0.0,4.2,1.1,,31.6,21.4,35.900000000000006,12.3,0.726
407,Gibaut Ian,"963    137.0
Name: Pitches, dtype: float64",67.0, FF, FC,"963   -4.1
Name:  H-Mov, dtype: float64","963    17.3
Name:  V-Mov, dtype: float64","963    5.9
Name: V-Rel Pt, dtype: float64","963   -1.2
Name: H-Rel Pt, dtype: float64",9.899999999999999,2.6999999999999997,7.8,7.300000000000001,3.0999999999999943,82.0,1.5999999999999996,1.7999999999999998,,7.2,17.1,53.1,20.9,0.854
408,Gibaut Ian,"963    137.0
Name: Pitches, dtype: float64",58.0, FF, SL,"963   -4.1
Name:  H-Mov, dtype: float64","963    17.3
Name:  V-Mov, dtype: float64","963    5.9
Name: V-Rel Pt, dtype: float64","963   -1.2
Name: H-Rel Pt, dtype: float64",9.899999999999999,2.6999999999999997,16.0,15.600000000000001,11.0,198.0,3.0,2.6,,23.1,37.0,38.7,15.5,0.231
409,Gibson Kyle,"969    535.0
Name: Pitches, dtype: float64",393.0, SI, FC,"969   -14.4
Name:  H-Mov, dtype: float64","969    6.8
Name:  V-Mov, dtype: float64","969    6.2
Name: V-Rel Pt, dtype: float64","969   -2.2
Name: H-Rel Pt, dtype: float64",20.6,12.0,15.8,2.000000000000001,2.299999999999997,225.0,0.40000000000000036,2.5,1.8000000000000007,9.6,24.5,36.0,15.5,0.245
410,Gibson Kyle,"969    535.0
Name: Pitches, dtype: float64",375.0, SI, SL,"969   -14.4
Name:  H-Mov, dtype: float64","969    6.8
Name:  V-Mov, dtype: float64","969    6.2
Name: V-Rel Pt, dtype: float64","969   -2.2
Name: H-Rel Pt, dtype: float64",20.6,12.0,19.1,8.1,8.0,383.0,1.9000000000000004,3.0999999999999996,9.899999999999999,19.6,40.2,30.5,7.2,0.321
411,Gibson Kyle,"969    535.0
Name: Pitches, dtype: float64",229.0, SI, FF,"969   -14.4
Name:  H-Mov, dtype: float64","969    6.8
Name:  V-Mov, dtype: float64","969    6.2
Name: V-Rel Pt, dtype: float64","969   -2.2
Name: H-Rel Pt, dtype: float64",20.8,12.2,8.5,9.3,0.7000000000000028,153.0,1.3000000000000007,1.0,19.5,14.6,14.9,46.1,20.5,0.266
412,Gibson Kyle,"969    535.0
Name: Pitches, dtype: float64",192.0, SI, CH,"969   -14.4
Name:  H-Mov, dtype: float64","969    6.8
Name:  V-Mov, dtype: float64","969    6.2
Name: V-Rel Pt, dtype: float64","969   -2.2
Name: H-Rel Pt, dtype: float64",20.6,12.0,0.09999999999999964,3.0999999999999996,6.900000000000006,510.0,1.4000000000000004,0.0,1.2000000000000028,14.2,37.5,34.7,7.8,0.308
413,Gibson Kyle,"969    535.0
Name: Pitches, dtype: float64",124.0, SI, CU,"969   -14.4
Name:  H-Mov, dtype: float64","969    6.8
Name:  V-Mov, dtype: float64","969    6.2
Name: V-Rel Pt, dtype: float64","969   -2.2
Name: H-Rel Pt, dtype: float64",20.7,12.100000000000001,21.7,15.399999999999999,12.200000000000003,330.0,3.4000000000000004,2.4000000000000004,,9.6,33.8,57.4,21.0,0.546
414,Gilbert Logan,"975    1198.0
Name: Pitches, dtype: float64",527.0, FF, SL,"975   -6.5
Name:  H-Mov, dtype: float64","975    17.6
Name:  V-Mov, dtype: float64","975    6.0
Name: V-Rel Pt, dtype: float64","975   -1.1
Name: H-Rel Pt, dtype: float64",12.5,5.3,12.8,12.500000000000002,8.799999999999997,188.0,2.8999999999999995,2.1,45.8,23.9,27.7,33.900000000000006,10.2,0.346
415,Gilbert Logan,"975    1198.0
Name: Pitches, dtype: float64",309.0, FF, KC,"975   -6.5
Name:  H-Mov, dtype: float64","975    17.6
Name:  V-Mov, dtype: float64","975    6.0
Name: V-Rel Pt, dtype: float64","975   -1.1
Name: H-Rel Pt, dtype: float64",12.6,5.3,10.8,26.5,15.099999999999994,3.0,4.6000000000000005,1.3,9.700000000000001,10.5,22.9,46.1,23.0,0.317
416,Gilbert Logan,"975    1198.0
Name: Pitches, dtype: float64",171.0, FF, CH,"975   -6.5
Name:  H-Mov, dtype: float64","975    17.6
Name:  V-Mov, dtype: float64","975    6.0
Name: V-Rel Pt, dtype: float64","975   -1.1
Name: H-Rel Pt, dtype: float64",12.4,5.2,9.2,10.200000000000001,9.700000000000003,404.0,2.7,0.8999999999999999,15.4,7.8,19.8,50.0,10.5,0.209
417,Gilbert Tyler,"978    197.0
Name: Pitches, dtype: float64",128.0, FC, FF,"978   -2.4
Name:  H-Mov, dtype: float64","978    10.7
Name:  V-Mov, dtype: float64","978    6.0
Name: V-Rel Pt, dtype: float64","978    1.6
Name: H-Rel Pt, dtype: float64",8.2,4.1,9.4,4.700000000000001,3.299999999999997,117.0,1.0,1.0999999999999999,21.4,23.5,19.6,36.4,17.2,0.31
418,Gilbert Tyler,"978    197.0
Name: Pitches, dtype: float64",103.0, FC, SI,"978   -2.4
Name:  H-Mov, dtype: float64","978    10.7
Name:  V-Mov, dtype: float64","978    6.0
Name: V-Rel Pt, dtype: float64","978    1.6
Name: H-Rel Pt, dtype: float64",8.2,4.1,16.5,1.3000000000000007,3.5,189.0,0.7999999999999998,2.0999999999999996,14.100000000000001,17.4,18.9,54.5,26.2,0.509
419,Gilbert Tyler,"978    197.0
Name: Pitches, dtype: float64",72.0, FC, FS,"978   -2.4
Name:  H-Mov, dtype: float64","978    10.7
Name:  V-Mov, dtype: float64","978    6.0
Name: V-Rel Pt, dtype: float64","978    1.6
Name: H-Rel Pt, dtype: float64",8.4,4.0,14.1,0.1999999999999993,4.5,785.0,1.2000000000000002,2.0999999999999996,20.3,9.5,26.8,35.5,8.3,0.188
420,Gilbert Tyler,"978    197.0
Name: Pitches, dtype: float64",64.0, FC, KC,"978   -2.4
Name:  H-Mov, dtype: float64","978    10.7
Name:  V-Mov, dtype: float64","978    6.0
Name: V-Rel Pt, dtype: float64","978    1.6
Name: H-Rel Pt, dtype: float64",8.6,3.7,4.199999999999999,23.6,10.0,282.0,4.1000000000000005,0.0,15.3,9.5,31.7,60.9,18.8,0.353
421,Gilbreath Lucas,"983    511.0
Name: Pitches, dtype: float64",163.0, FF, SL,"983    0.5
Name:  H-Mov, dtype: float64","983    15.8
Name:  V-Mov, dtype: float64","983    5.8
Name: V-Rel Pt, dtype: float64","983    1.1
Name: H-Rel Pt, dtype: float64",5.3,0.8,4.8,18.8,11.300000000000011,9.0,3.3,0.8000000000000003,3.1999999999999993,29.8,28.9,50.7,14.7,0.356
422,Gillaspie Logan,"989    88.0
Name: Pitches, dtype: float64",51.0, FF, SL,"989   -8.5
Name:  H-Mov, dtype: float64","989    17.4
Name:  V-Mov, dtype: float64","989    5.8
Name: V-Rel Pt, dtype: float64","989   -0.8
Name: H-Rel Pt, dtype: float64",14.0,7.4,19.9,20.099999999999998,13.799999999999997,134.0,3.0999999999999996,3.0,,29.7,15.6,57.9,17.6,0.311
423,Giolito Lucas,"995    854.0
Name: Pitches, dtype: float64",467.0, FF, CH,"995   -4.5
Name:  H-Mov, dtype: float64","995    18.1
Name:  V-Mov, dtype: float64","995    6.3
Name: V-Rel Pt, dtype: float64","995   -1.3
Name: H-Rel Pt, dtype: float64",10.8,3.1,6.1,6.700000000000001,11.5,716.0,2.5,0.8,6.8,28.9,29.4,42.9,12.8,0.526
424,Giolito Lucas,"995    854.0
Name: Pitches, dtype: float64",463.0, FF, SL,"995   -4.5
Name:  H-Mov, dtype: float64","995    18.1
Name:  V-Mov, dtype: float64","995    6.3
Name: V-Rel Pt, dtype: float64","995   -1.3
Name: H-Rel Pt, dtype: float64",10.9,3.0,8.3,17.200000000000003,8.400000000000006,191.0,3.499999999999999,1.6,35.5,19.2,28.0,34.599999999999994,11.9,0.425
